ID,Question,Probability,Volume24h,TotalVolume,CloseTime
d80qZLCNpZ,Iran’s Army joins forces with the protestors to fight against the Revolutionary Guard by Persian New Year.,0.15000000000000002,0.0,4.734914926430582,1773964740000
6852cQARuu,EPL/La Liga: 1/26 Will either Everton v Leeds OR Girona v Getafe end in a DRAW?,0.512343797622676,25.0,25.0,1769558340000
z6l6yRZ08z,"Will PLTR close at or above $165 on EOD Feb 20, 2026?",0.5901639344262295,200.0,200.0,1771631940000
9UCCOInpOS,"Will Trump's approval rating be higher on election day (Nov. 3, 2026) than it was in his first term (Nov. 6, 2018)?",0.2686366689053057,65.0,65.0,1793750340000
OgIPRtIZII,"Will there be an ""Avengers: Secret Wars part 2"" movie?",0.44999999999999996,10.554159678513336,10.554159678513336,1830297540000
2pndA9N5tl,"Roman Sciarpella, player of GDT Bellinzona, will score a goal in the next match",0.35,0.0,0.0,1770043140000
yOOAINy58A,Will Alphabet/Google strictly beat the analysts estimate of $2.59 per share for Q4 2025 earnings?,0.6869901245169601,65.0,65.0,1770076740000
RlUO8UcPSC,"Will Gold hit $6,000 per ounce in 2026?",0.7473726758286175,722.0000000000001,722.0000000000001,1798761540000
RZsEus0s9n,Will the WHO declare a Nipah Virus pandemic before 2028?,0.15325155474528437,5.0,5.0,1830297540000
hlydRudyAP,Rihanna scores a billboard number 1 single in 2026?,0.42154163799036476,40.0,40.0,1798761540000
9ZuhuIzupz,"Will I have a ""Successful Week"", based on the objective scoring criteria below? (01/26/26)",0.7505986598750253,755.0,755.0,1769990340000
CdZ58yql9q,US strike on Somalia by Jan 31?,0.1932615519417504,5721.427727463686,5721.427727463686,1769932740000
Z29CERpOSL,Will Oscar Puente resign before March 2026 because of the fatal train accidents that happened in Spain?,0.45248868778280527,10.0,10.0,1772323140000
SOSs8tL0tS,יהודה יפציץ בסמינר,0.8994142392422256,467.0354281194561,467.0354281194561,1770069540000
yC8C8ctPtP,Will Starship flight 12 happen before New Glenn flight 3?,0.3509701165107178,60.922127251671846,60.922127251671846,1777589940000
H8RdAbAmsq,"Will ""Canada Lost Its Measles Elimination Status Be..."" make the top fifty posts in LessWrong's 2026 Annual Review?",0.13330785091386185,50.0,50.0,1832976000000
U9IEgLPPQO,"Will the number of homicides recorded in Mexico exceed 45 on January 26, 2026?",0.7681505016890312,82.02040612204071,82.02040612204071,1769495460000
pzngnn5nsh,Will the ICE agents who shot Alex Pretti be charged in any federal court?,0.18068729739719552,200.55415967851332,200.55415967851332,1798675140000
